ind_ID	long0	lat0	z0	i0	j0	temp0	sal0	xyz0	dev_stage0	ocean_ID0
11291	-66.79335	44.15474	15	115	90	3.97434	33.46039	171.14667	1.02167	1
11292	-66.79323	44.15492	15	115	90	3.97403	33.46007	171.26831	1.02166	1
11293	-66.7936	44.15484	15	115	90	3.97522	33.46091	171.27269	1.02168	1
11294	-66.79346	44.15488	15	115	90	3.97483	33.46064	171.2644	1.02167	1
11295	-66.79353	44.1549	15	115	90	3.9751	33.4608	171.29861	1.02167	1
11296	-66.79314	44.15496	15	115	90	3.97394	33.45998	171.3006	1.02166	1
11297	-66.79344	44.15509	15	115	90	3.97496	33.46057	171.44954	1.02167	1
11298	-66.79342	44.15493	15	115	90	3.97473	33.46053	171.30931	1.02167	1
11299	-66.7934	44.15474	15	115	90	3.9746	33.46057	171.1591	1.02167	1
11300	-66.7933	44.15504	15	115	90	3.97441	33.46023	171.39946	1.02167	1
11711	-66.76987	44.18945	15	116	91	3.8204	33.42056	183.31894	1.0208	1
11712	-66.76984	44.18936	15	116	91	3.82016	33.42048	183.29849	1.0208	1
11713	-66.76988	44.18959	15	116	91	3.82061	33.42066	183.34058	1.0208	1
11714	-66.77008	44.18987	15	116	91	3.82209	33.42087	183.42235	1.02081	1
11715	-66.76989	44.1896	15	116	91	3.8207	33.42067	183.34512	1.02081	1
11716	-66.76969	44.19002	15	116	91	3.82054	33.42097	183.38188	1.0208	1
11717	-66.76942	44.18992	15	116	91	3.81928	33.42091	183.32848	1.0208	1
11718	-66.77013	44.18974	15	116	91	3.82197	33.42078	183.40543	1.02081	1
11719	-66.76987	44.19015	15	116	91	3.82165	33.42108	183.43558	1.02081	1
11720	-66.76984	44.18994	15	116	91	3.821	33.42093	183.39107	1.02081	1
12161	-66.72635	44.22797	15	117	91	3.80398	33.43038	183.98444	1.02163	1
12162	-66.72668	44.22762	15	117	91	3.80288	33.43047	183.91223	1.02163	1
12163	-66.72678	44.22762	15	117	91	3.80304	33.43056	183.90076	1.02163	1
12164	-66.72629	44.22782	15	117	91	3.80314	33.43028	183.96985	1.02163	1
12165	-66.72665	44.22803	15	117	91	3.80473	33.4306	183.96512	1.02164	1
12166	-66.72673	44.22768	15	117	91	3.80312	33.43051	183.91508	1.02163	1
12167	-66.72703	44.2275	15	117	91	3.80285	33.43066	183.86819	1.02163	1
12168	-66.72652	44.2281	15	117	91	3.80472	33.43054	183.97955	1.02164	1
12169	-66.72637	44.22795	15	117	91	3.8038	33.43039	183.97411	1.02163	1
12170	-66.72668	44.22781	15	117	91	3.80375	33.43056	183.93167	1.02163	1
12171	-66.67865	44.28174	15	119	92	3.72445	33.35408	191.78493	1.0232	1
12172	-66.67888	44.28164	15	119	92	3.72387	33.35379	191.74113	1.0232	1
12173	-66.67826	44.28186	15	119	92	3.72547	33.3546	191.86314	1.0232	1
12174	-66.67843	44.28192	15	119	92	3.72476	33.35473	191.8392	1.02319	1
12175	-66.67882	44.28174	15	119	92	3.72389	33.35402	191.75623	1.0232	1
12176	-66.67886	44.28157	15	119	92	3.72426	33.3536	191.74719	1.02321	1
12177	-66.67848	44.28193	15	119	92	3.72452	33.35466	191.82339	1.02319	1
12178	-66.67868	44.2817	15	119	92	3.72451	33.35406	191.78688	1.0232	1
12179	-66.67897	44.28152	15	119	92	3.72407	33.35343	191.72768	1.02321	1
12180	-66.67888	44.2817	15	119	92	3.7237	33.35391	191.74095	1.0232	1
12701	-66.70393	44.20988	15	117	91	3.70087	33.40686	184.13963	1.02113	1
12702	-66.70373	44.20998	15	117	91	3.70129	33.40665	184.1842	1.02113	1
12703	-66.70327	44.20967	15	117	91	3.69965	33.40614	184.201	1.02113	1
12704	-66.70415	44.21003	15	117	91	3.70157	33.40707	184.13322	1.02113	1
12705	-66.7038	44.20956	15	117	91	3.69933	33.40662	184.1201	1.02112	1
12706	-66.7045	44.2099	15	117	91	3.70108	33.40739	184.06921	1.02113	1
12707	-66.70417	44.20996	15	117	91	3.70117	33.40706	184.12024	1.02113	1
12708	-66.70347	44.21006	15	117	91	3.70158	33.40643	184.22844	1.02114	1
12709	-66.70417	44.21005	15	117	91	3.70165	33.40707	184.13612	1.02113	1
12710	-66.70429	44.21004	15	117	91	3.70169	33.40723	184.11404	1.02113	1
12711	-66.6696	44.26445	15	119	92	3.80571	33.3172	193.13774	1.0224	1
12712	-66.66884	44.26504	15	119	92	3.80554	33.31802	193.24142	1.0224	1
12713	-66.6692	44.26505	15	119	92	3.80456	33.3179	193.19048	1.02239	1
12714	-66.6691	44.26538	15	119	92	3.80367	33.31868	193.19727	1.02241	1
12715	-66.66946	44.2646	15	119	92	3.80556	33.3167	193.15875	1.02238	1
12716	-66.66927	44.26461	15	119	92	3.80588	33.31674	193.18085	1.0224	1
12717	-66.66915	44.26498	15	119	92	3.80486	33.31778	193.19646	1.0224	1
12718	-66.66936	44.26478	15	119	92	3.80513	33.31713	193.17104	1.0224	1
12719	-66.66982	44.26432	15	119	92	3.80585	33.3178	193.11261	1.0224	1
12720	-66.66957	44.26457	15	119	92	3.80546	33.31697	193.14671	1.0224	1
12721	-66.64698	44.29791	15	119	92	3.80012	33.41011	198.68793	1.02192	1
12722	-66.6465	44.2982	15	119	92	3.80151	33.41112	198.81476	1.02192	1
12723	-66.64653	44.29814	15	119	92	3.80144	33.41087	198.79581	1.02193	1
12724	-66.64638	44.29847	15	119	92	3.80176	33.41174	198.86629	1.02193	1
12725	-66.64671	44.29802	15	119	92	3.80099	33.41051	198.75247	1.02193	1
12726	-66.64664	44.29818	15	119	92	3.80108	33.41095	198.78473	1.02192	1
12727	-66.64651	44.29839	15	119	92	3.80136	33.41155	198.83626	1.02193	1
12728	-66.6467	44.29827	15	119	92	3.80095	33.41116	198.79324	1.02192	1
12729	-66.64637	44.2984	15	119	92	3.80185	33.41158	198.85988	1.02193	1
12730	-66.64604	44.29834	15	119	92	3.80277	33.41164	198.90428	1.02193	1
13191	-66.58249	44.20549	15	119	90	3.94098	33.20198	60.50484	1.02288	1
13192	-66.58266	44.20585	15	119	90	3.94376	33.20218	61.75583	1.02289	1
13193	-66.58301	44.20575	15	119	90	3.9414	33.20345	62.11415	1.02288	1
13194	-66.58265	44.20571	15	119	90	3.9428	33.20224	61.45802	1.02289	1
13195	-66.58227	44.2057	15	119	90	3.94372	33.20118	60.76122	1.02288	1
13196	-66.5827	44.20564	15	119	90	3.942	33.20237	61.28111	1.02289	1
13197	-66.58227	44.20555	15	119	90	3.94236	33.20129	60.35542	1.02289	1
13198	-66.58253	44.20579	15	119	90	3.94357	33.20194	61.44765	1.0229	1
13199	-66.58228	44.20559	15	119	90	3.94321	33.20108	60.46617	1.02289	1
13200	-66.58223	44.20566	15	119	90	3.94378	33.20096	60.5681	1.02289	1
13201	-66.64752	44.27882	15	119	92	3.81788	33.36277	196.45862	1.02229	1
13202	-66.64724	44.27897	15	119	92	3.81827	33.36327	196.50616	1.02227	1
13203	-66.64738	44.27882	15	119	92	3.81822	33.36283	196.47687	1.02228	1
13204	-66.64764	44.27916	15	119	92	3.81708	33.36365	196.47801	1.02229	1
13205	-66.64717	44.27908	15	119	92	3.81818	33.36359	196.52141	1.02228	1
13206	-66.64733	44.27892	15	119	92	3.81816	33.36316	196.49448	1.02228	1
13207	-66.64731	44.27885	15	119	92	3.81829	33.36303	196.49236	1.02228	1
13208	-66.648	44.279	15	119	92	3.81655	33.36298	196.41403	1.0223	1
13209	-66.64733	44.27904	15	119	92	3.81788	33.36348	196.50162	1.02228	1
13210	-66.64742	44.279	15	119	92	3.81787	33.36333	196.49211	1.02228	1
13211	-66.5724	44.30949	15	121	92	3.68433	33.34067	203.02504	1.02304	1
13212	-66.57253	44.30923	15	121	92	3.68618	33.34013	203.03525	1.02304	1
13213	-66.57233	44.30911	15	121	92	3.68727	33.33998	203.01567	1.02305	1
13214	-66.57177	44.30922	15	121	92	3.68585	33.34064	202.967	1.02305	1
13215	-66.57194	44.30944	15	121	92	3.6842	33.34096	202.98305	1.02304	1
13216	-66.57182	44.30934	15	121	92	3.6846	33.34091	202.97469	1.02305	1
13217	-66.57239	44.30924	15	121	92	3.68625	33.3402	203.0218	1.02304	1
13218	-66.57262	44.30906	15	121	92	3.68798	33.33963	203.04355	1.02304	1
13219	-66.57195	44.30936	15	121	92	3.68487	33.34077	202.98651	1.02305	1
13220	-66.57231	44.30926	15	121	92	3.68598	33.34029	203.01819	1.02304	1
13721	-66.5051	44.22171	15	121	89	3.65443	33.23495	54.55073	1.02519	1
13722	-66.50572	44.22172	15	121	89	3.66328	33.23298	54.08667	1.02521	1
13723	-66.50601	44.22166	15	121	89	3.66454	33.23291	54.03355	1.02521	1
13724	-66.50538	44.22192	15	121	89	3.66046	33.23298	54.19757	1.02519	1
13725	-66.50588	44.22196	15	121	89	3.66713	33.23157	53.85008	1.0252	1
13726	-66.50609	44.22185	15	121	89	3.66857	33.23158	53.79319	1.02521	1
13727	-66.5052	44.22211	15	121	89	3.66063	33.2326	54.16878	1.02519	1
13728	-66.50548	44.22133	15	121	89	3.65563	33.23549	54.53854	1.02521	1
13729	-66.50596	44.22164	15	121	89	3.66409	33.23315	54.06559	1.02521	1
13730	-66.50588	44.22167	15	121	89	3.66378	33.23294	54.06474	1.02521	1
13731	-66.62224	44.22876	15	119	90	4.01745	33.27281	188.57809	1.02362	1
13732	-66.62227	44.22889	15	119	90	4.0187	33.27277	189.00865	1.02362	1
13733	-66.62177	44.22892	15	119	90	4.02048	33.27231	188.52773	1.02362	1
13734	-66.62193	44.2285	15	119	90	4.01588	33.27264	187.38902	1.02362	1
13735	-66.62265	44.22875	15	119	90	4.01604	33.27319	189.01199	1.02362	1
13736	-66.62195	44.2288	15	119	90	4.01914	33.27249	188.42084	1.02362	1
13737	-66.62202	44.22854	15	119	90	4.01632	33.27267	187.68144	1.02362	1
13738	-66.6218	44.22881	15	119	90	4.01922	33.2724	188.20686	1.02363	1
13739	-66.62197	44.22861	15	119	90	4.01705	33.27259	187.79251	1.02362	1
13740	-66.62246	44.2288	15	119	90	4.01731	33.27298	188.99171	1.02362	1
13741	-66.63005	44.28745	15	120	92	3.83655	33.38653	199.38403	1.02269	1
13742	-66.63034	44.2874	15	120	92	3.83693	33.38716	199.35535	1.02269	1
13743	-66.63003	44.28741	15	120	92	3.83666	33.38647	199.37904	1.02269	1
13744	-66.62994	44.28739	15	120	92	3.83657	33.38634	199.38585	1.02269	1
13745	-66.62997	44.28763	15	120	92	3.83598	33.38651	199.41293	1.02269	1
13746	-66.63021	44.28707	15	120	92	3.83767	33.38662	199.32643	1.0227	1
13747	-66.63007	44.28748	15	120	92	3.83649	33.3866	199.38554	1.02269	1
13748	-66.6304	44.2875	15	120	92	3.83681	33.38736	199.35818	1.02269	1
13749	-66.63013	44.28758	15	120	92	3.8363	33.38684	199.39137	1.02269	1
13750	-66.62978	44.2874	15	120	92	3.83646	33.38601	199.39638	1.02269	1
13751	-66.54505	44.32135	15	122	92	3.57872	33.37794	200.98454	1.02419	1
13752	-66.54445	44.32218	15	122	92	3.57789	33.3777	200.98288	1.02416	1
13753	-66.54404	44.32227	15	122	92	3.58006	33.37712	200.98581	1.02415	1
13754	-66.54486	44.32207	15	122	92	3.57561	33.3783	200.97983	1.02417	1
13755	-66.54491	44.32244	15	122	92	3.57266	33.37882	200.97429	1.02415	1
13756	-66.54455	44.32222	15	122	92	3.57669	33.37796	200.98083	1.02416	1
13757	-66.54453	44.32186	15	122	92	3.57919	33.37755	200.98579	1.02418	1
13758	-66.54443	44.32173	15	122	92	3.58038	33.37732	200.98788	1.02417	1
13759	-66.54422	44.32229	15	122	92	3.57867	33.37745	200.98357	1.02415	1
13760	-66.54489	44.32227	15	122	92	3.57412	33.37856	200.97705	1.02416	1
13761	-66.53271	44.33897	15	122	92	3.62492	33.36572	199.86151	1.02341	1
13762	-66.53113	44.33849	15	122	92	3.63713	33.3628	199.91821	1.02343	1
13763	-66.53217	44.33834	15	122	92	3.62873	33.36467	199.93567	1.02343	1
13764	-66.53269	44.33896	15	122	92	3.62471	33.36577	199.86125	1.02341	1
13765	-66.53256	44.33924	15	122	92	3.62619	33.36552	199.82924	1.0234	1
13766	-66.53232	44.33902	15	122	92	3.62776	33.36509	199.85583	1.02341	1
13767	-66.53178	44.33881	15	122	92	3.63204	33.36406	199.87866	1.02343	1
13768	-66.53219	44.33893	15	122	92	3.62896	33.3648	199.86359	1.02341	1
13769	-66.53175	44.33883	15	122	92	3.63231	33.36401	199.87726	1.02342	1
13770	-66.53195	44.33841	15	122	92	3.63018	33.36436	199.92926	1.02343	1
14241	-66.45568	44.13698	15	121	87	3.86951	33.16647	67.04513	1.02395	1
14242	-66.45581	44.13696	15	121	87	3.86935	33.16666	67.04216	1.02396	1
14243	-66.45628	44.13715	15	121	87	3.87108	33.16667	67.15645	1.02396	1
14244	-66.45576	44.13697	15	121	87	3.86925	33.16664	67.03526	1.02396	1
14245	-66.45586	44.13713	15	121	87	3.87093	33.16627	67.12692	1.02396	1
14246	-66.45576	44.13705	15	121	87	3.87022	33.16637	67.08581	1.02396	1
14247	-66.45581	44.13693	15	121	87	3.86896	33.16679	67.0221	1.02396	1
14248	-66.45581	44.13716	15	121	87	3.87126	33.1661	67.14027	1.02396	1
14249	-66.45555	44.13692	15	121	87	3.86885	33.16652	67.00629	1.02395	1
14250	-66.45584	44.1369	15	121	87	3.8688	33.16688	67.01575	1.02396	1
14251	-66.56596	44.25328	15	120	91	3.80771	33.28504	193.58893	1.02405	1
14252	-66.56423	44.25337	15	120	91	3.79253	33.28586	193.3098	1.02402	1
14253	-66.5658	44.25273	15	120	91	3.8094	33.28451	193.49242	1.02406	1
14254	-66.5655	44.2533	15	120	91	3.80334	33.28528	193.51035	1.02404	1
14255	-66.56622	44.25316	15	120	91	3.81041	33.28485	193.62329	1.02406	1
14256	-66.56616	44.25301	15	120	91	3.81099	33.28467	193.59206	1.02406	1
14257	-66.5649	44.25303	15	120	91	3.80025	33.2852	193.37967	1.02405	1
14258	-66.56502	44.25339	15	120	91	3.79899	33.28557	193.44897	1.02404	1
14259	-66.56423	44.25345	15	120	91	3.79196	33.28595	193.31522	1.02404	1
14260	-66.56647	44.25324	15	120	91	3.81247	33.28479	193.67485	1.02406	1
14261	-66.60223	44.2864	15	120	92	3.82059	33.33457	201.24304	1.02356	1
14262	-66.60254	44.28639	15	120	92	3.8207	33.33518	201.22153	1.02355	1
14263	-66.60249	44.28587	15	120	92	3.82231	33.33496	201.15373	1.02359	1
